Onset,Duration,Annotation
2014-04-08T21:19:35.0000000,360.976,segment
2014-04-08T21:25:41.9750000,82.732,segment
2014-04-08T21:27:07.6340000,21.268,segment
2014-04-08T21:27:35.2430000,236.098,segment
2014-04-08T21:31:55.3410000,56.39,segment
2014-04-08T21:33:59.8780000,212.683,segment
2014-04-08T21:37:38.7560000,49.756,segment
2014-04-08T21:50:28.9510000,84.293,segment
2014-04-08T21:52:10.7560000,78.244,segment
2014-04-08T21:53:47.4390000,247.317,segment
2014-04-08T21:58:05.1460000,150.439,segment
2014-04-08T22:00:59.3900000,224.242000,segment
2014-04-08T22:04:49.0860000,233.939000,segment
2014-04-08T22:09:13.6320000,54.242000,segment
2014-04-08T22:10:39.3900000,38.182000,segment
2014-04-08T22:11:24.8440000,16.667000,segment
2014-04-08T22:11:42.4200000,49.091000,segment
2014-04-08T22:12:32.4200000,17.273000,segment
2014-04-08T22:13:25.4650000,53.939000,segment
2014-04-08T22:14:35.0000000,290.244,segment
2014-04-08T22:19:50.6560000,156.569,segment
2014-04-08T22:22:49.6530000,243.613,segment
2014-04-08T22:27:40.3640000,145.985,segment
2014-04-08T22:30:22.1530000,66.058,segment
2014-04-08T22:32:02.4810000,336.679,segment
2014-04-08T22:37:43.5400000,54.927,segment
2014-04-08T22:38:40.4370000,41.971,segment
2014-04-08T22:39:41.2400000,139.051,segment
2014-04-08T22:42:05.5830000,81.212000,segment
2014-04-08T22:43:30.7340000,102.121000,segment
2014-04-08T22:45:20.9760000,26.909000,segment
2014-04-08T22:45:54.9160000,69.818000,segment
2014-04-08T22:47:37.1890000,47.08,segment
2014-04-08T22:48:37.1890000,52.19,segment
2014-04-08T22:49:44.0140000,24.635,segment
2014-04-08T22:50:33.9410000,28.485000,segment
2014-04-08T22:52:17.2260000,19.152000,segment
2014-04-08T22:52:59.2860000,24.606000,segment
2014-04-08T22:53:24.3770000,23.636000,segment
2014-04-08T22:54:03.4070000,18.182000,segment
2014-04-08T22:54:24.3790000,47.81,segment
2014-04-08T22:59:09.0500000,40.146,segment
