# start, duration, annotation
2014-04-08T21:20:09.120000,32.849,segment
2014-04-08T21:20:43.665000,27.759,segment
2014-04-08T21:21:15.665000,25.456,segment
2014-04-08T21:22:06.453000,47.153,segment
2014-04-08T21:22:57.362000,25.334,segment
2014-04-08T21:23:32.756000,21.092,segment
2014-04-08T21:24:02.211000,36.728,segment
2014-04-08T21:24:48.999000,21.334,segment
2014-04-08T21:25:10.575000,28.0,segment
2014-04-08T21:25:43.908000,21.213,segment
2014-04-08T21:26:37.726000,54.546,segment
2014-04-08T21:27:47.665000,24.971,segment
2014-04-08T21:28:13.120000,29.455,segment
2014-04-08T21:29:13.969000,57.576,segment
2014-04-08T21:31:12.514000,23.758,segment
2014-04-08T21:32:10.211000,24.001,segment
2014-04-08T21:34:35.423000,49.092,segment
2014-04-08T21:35:33.726000,30.789,segment
2014-04-08T21:36:30.575000,44.97,segment
2014-04-08T21:43:43.787000,31.758,segment
2014-04-08T21:44:50.938000,27.152,segment
2014-04-08T21:48:09.120000,24.364,segment
2014-04-08T21:54:35.665000,14.789,segment
2014-04-08T21:55:55.665000,72.244,segment
2014-04-08T21:57:39.059000,48.365,segment
2014-04-08T21:58:39.665000,38.304,segment
2014-04-08T22:00:37.605000,28.243,segment
2014-04-08T22:01:44.150000,26.91,segment
2014-04-08T22:02:41.362000,24.122,segment
2014-04-08T22:04:07.302000,31.758,segment
2014-04-08T22:07:58.938000,20.607,segment
2014-04-08T22:09:16.514000,25.213,segment
2014-04-08T22:10:55.423000,32.243,segment
2014-04-08T22:13:13.362000,26.91,segment
2014-04-08T22:15:17.484000,37.455,segment
2014-04-08T22:17:50.211000,54.182,segment
2014-04-08T22:20:36.393000,52.97,segment
2014-04-08T22:25:04.150000,34.062,segment
2014-04-08T22:29:11.423000,39.152,segment
2014-04-08T22:30:38.332000,24.364,segment
2014-04-08T22:32:02.332000,22.304,segment
2014-04-08T22:40:30.090000,27.637,segment
2014-04-08T22:43:04.999000,111.516,segment
2014-04-08T22:46:18.453000,44.001,segment
2014-04-08T22:57:39.908000,36.728,segment
2014-04-08T22:59:49.847000,29.334,segment
2014-04-08T23:00:34.938000,115.274,segment
2014-04-08T23:09:11.423000,60.243,segment
2014-04-08T23:14:42.090000,25.334,segment
2014-04-08T23:15:17.241000,39.031,segment
